run_index,chosen_slot_id,tie_break_reason
1,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
2,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
3,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
4,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
5,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
6,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
7,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
8,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
9,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
10,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
11,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
12,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
13,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
14,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
15,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
16,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
17,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
18,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
19,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
20,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
21,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
22,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
23,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
24,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
25,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
26,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
27,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
28,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
29,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
30,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
31,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
32,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
33,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
34,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
35,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
36,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
37,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
38,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
39,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
40,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
41,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
42,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
43,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
44,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
45,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
46,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
47,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
48,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
49,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
50,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
51,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
52,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
53,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
54,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
55,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
56,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
57,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
58,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
59,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
60,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
61,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
62,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
63,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
64,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
65,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
66,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
67,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
68,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
69,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
70,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
71,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
72,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
73,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
74,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
75,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
76,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
77,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
78,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
79,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
80,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
81,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
82,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
83,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
84,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
85,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
86,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
87,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
88,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
89,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
90,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
91,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
92,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
93,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
94,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
95,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
96,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
97,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
98,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
99,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
100,TIE-SLOT-A,"max utility, then earliest start, then modality priority, then slot_id"
